sentence_id,sentence,source,subject,relation,object,confidence
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,Albert Einstein,is a type of,theoretical physicist,0.6636
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,Albert Einstein,is known for,developing the theory of relativity,0.7236
3,"His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"".",Albert Einstein,His mass–energy equivalence formula E = mc2,has been called,the world's most famous equation,0.9291
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,He,received,the 1921 Nobel Prize in Physics,0.8325
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,He,was awarded for,his services to theoretical physics,0.7825
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,He,was awarded for,his discovery of the law of the photoelectric effect,0.7897
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,enrolled in,the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich,0.6751
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,graduating in,1900,0.6751
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,enrolled in,the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich,0.6751
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,was at the age of,seventeen,0.6751
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,he,submitted,a successful PhD dissertation,0.8212
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,he,submitted,to the University of Zurich,0.8212
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,he,endorsed a letter to,President Franklin D. Roosevelt,0.8046
