original,canonical
absorbs mass,absorbs mass
accepted,was recognized by
was recognized by,was recognized by
accomplished valuable work in connection with,accomplished valuable work in connection with
is famous for,accomplished valuable work in connection with
laid the groundwork for,accomplished valuable work in connection with
made contributions to,contributed to
was influenced by,accomplished valuable work in connection with
was notable for,accomplished valuable work in connection with
account for,account for
acquired,was transferred to
gained,was transferred to
kept,was transferred to
received,was transferred to
secured,was transferred to
takes,was transferred to
was transferred to,was transferred to
were forced to sell,was transferred to
advances,advances
advocated against,advocated against
objected that,advocated against
affects,affects
alerting him to,alerting him to
allows students to take,get to study
continued his education at,get to study
enrolled in,enrolled in
get to study,get to study
alter the course of,alter the course of
and his uncle jakob,and his uncle jakob
are,are
is based in,are
is located at the core of,are
laid out,are
are a group of,are a group of
are a part of,are portions of
are portions of,are portions of
are a specialty of,are a specialty of
are awarded,was awarded for
was awarded for,was awarded for
was granted,was awarded for
are called,are called
are referred to as,are called
are usually referred to as,are called
has been called,known for
is called,are called
is often called a,are called
is referred to as,are called
are causing,are causing
led to,are causing
possibly contributed to,are causing
are claimed by,report
report,report
are connected into,is connected to
is connected to,is connected to
was connected to,is connected to
are derived from,are derived from
are originally obtained from,are derived from
derives from,are derived from
is derived from,are derived from
are detected and studied based on,are detected and studied based on
are effective against,are effective against
are for,are for
are used for,are for
are gaining mass from,are gaining mass from
are in,are in
is in,located in
are in clinical use,are in clinical use
are in the domain of,are in the domain of
are losing mass via,are losing mass via
are necessary for,are necessary for
depends on,are necessary for
is required to become,are necessary for
require,are necessary for
are not chemically related to,are not chemically related to
are not included in,are not included in
are not trained to treat,are not trained to treat
are orbiting,are orbiting
are performed by,are performed by
are responsible for,are responsible for
is used as,are responsible for
may undertake,are responsible for
perform,are responsible for
was appointed,are responsible for
was handled by,are responsible for
will use,are responsible for
are similar to,is formed by
explained,explained
has traversed,is formed by
is,is formed by
is a major reason for the connection of,is formed by
is formed by,is formed by
predicted,is formed by
was provided and published by,is formed by
are still at the turn of,are still at the turn of
are still in use for,are still in use for
are synthesised by,are synthesised by
are widely read today,are widely read today
argues for,argues that
argues that,argues that
contends that,argues that
arrive to,arrive to
made expeditions to,arrive to
traveled during,arrive to
asked,asked
assigns,assigns
assumed,assumed
attended,enrolled in
is conducted at the,is conducted at the
became,became
became a,became
became a german citizen in,became a german citizen in
became a place of pilgrimage,became a place of pilgrimage
became director of,led
took the position of,became director of
was appointed director of,became director of
became infatuated with,became infatuated with
took interest in,became infatuated with
became standard,became standard
was standard,became standard
became the more popular term after,became the more popular term after
began,began
begins with,begins with
best prevents or slows,best prevents or slows
breaks,breaks
has formed,breaks
is unstable,breaks
provided a vital bridge connecting,breaks
refer to,breaks
was linked to,breaks
brought,brought
calculated that,calculated that
calls,calls
came to power in,came to power in
entered,came to power in
can be tolerated by,can be tolerated by
can be used to determine,can be used to determine
can create,produces
is produced by,produces
produced,produces
produces,produces
can eventually tolerate,persevered with
persevered with,persevered with
can grow,was expected to follow
was expected to follow,was expected to follow
clocks in at,clocks in at
spent time in,clocks in at
coined,stemmed from
developed,stemmed from
discovered,discovered
is borrowed from,stemmed from
is from,stemmed from
is the first widely accepted,stemmed from
provided,stemmed from
stemmed from,stemmed from
was discovered by,stemmed from
was first developed in,stemmed from
was popularized by,stemmed from
was proposed by,stemmed from
collaborated in establishing,collaborated in establishing
collaborated with,collaborated in establishing
founded,collaborated in establishing
was the founder of,collaborated in establishing
collaborated with dr. chaim weizmann in establishing,collaborated with dr. chaim weizmann in establishing
complete,complete
include,complete
connects,connects
consists of,consists of
contained,contains
contains,contains
is within,contains
contains the beta-lactam core of,contains the beta-lactam core of
continued to work on,continued to work on
contributed to,contributed to
is an influential figure in,contributed to
laid the foundation of,contributed to
could contain,could contain
deals with,deals with
dealt with,found
finds,found
found,found
specialize in,found
was found,found
was isolated by,found
decided to remain in,decided to remain in
declined,declined
decreases by,decreases by
delivers,delivers
obtained,delivers
demonstrated,demonstrated
derives its name from,derives its name from
described,describes
describes,describes
is used to describe,describes
more accurately describes,describes
refers to,describes
designated,designated
died at,died at
died in,died in
died on,died on
disappeared,disappeared
drives,drives
was handled on land by,drives
embarked on the construction of,embarked on the construction of
emigrated to,emigrated to
flee,emigrated to
lived under,emigrated to
moved to,relocated to
remained in,emigrated to
settled in,relocated to
stayed at,emigrated to
emit,emit
endorsed a letter to,endorsed a letter to
entitled,entitled
established the western terminus of,established the western terminus of
expanded into,expanded into
experienced,experienced
explained in,explained in
expresses his appreciation,expresses his appreciation
extended,extended
falls behind,falls behind
finished,finished
first used,first used
provided and published,first used
was discovered in,first used
was the first to successfully use,first used
follows,follows
forced,forced
forms around,forms around
forsaked his citizenship in,renounced his citizenship for
renounced his citizenship for,renounced his citizenship for
founded elektrotechnische fabrik j. einstein & cie,founded elektrotechnische fabrik j. einstein & cie
graduated in,graduating in
graduating in,graduated in
had,had
had been a province of,had been a province of
had been conquered by,had been conquered by
had belonged to,joined
joined,affiliated with
had developed,had developed
went through,had developed
had to search for,had to search for
has,has
has antibacterial property,has antibacterial property
has become,has become
has been described as,has been described as
has levels of,has levels of
has roughly 50% more,has roughly 50% more
has separate sections for,has separate sections for
has theory,has theory
is for,has theory
is the science of,has theory
have been translated into,have been translated into
have showed,have showed
heals by forming,heals by forming
hence his name,hence his name
identify who is in need of,identify who is in need of
incorporated,incorporated
introduced,introduced
invented,invented
is the author of,invented
manufactured,invented
investigated,investigated
is a,is a
is a branch of,is a branch of
is a sub-specialty of,is a branch of
loom large in,is a branch of
is a compound derived from,is a compound derived from
is a mixture of,is an ill-defined mixture of
is an ill-defined mixture of,is an ill-defined mixture of
is a name meaning,was a
was a,was a
is a nisba of,is a nisba of
is a parent of,is a parent of
is a part of,is a part of
is a specialty of,is a specialty of
is a type of,is a
was a type of,is a type of
is a useful precursor for manufacturing,is a useful precursor for manufacturing
is added to,is added to
is also frequently used for,is also frequently used for
is also known as,is known as
is known as,is known as
is an example of,is an example of
is associated with,is associated with
is concerned with,is concerned with
is considered one of the greatest poems of,is considered one of the greatest poems of
is considered one of the most important works of,is considered one of the most important works of
is damaged by,is damaged by
is defined as,is defined as
is described in,is described in
is difficult to isolate,is difficult to isolate
is followed by,is followed by
is for the procedure,is for the procedure
is inadequately trained to take care of,is inadequately trained to take care of
is inversely proportional to,is inversely proportional to
is known for,known for
is located at,moved
is located on the,moved
moved,moved
is located in,located in
spread along,is located in
is named after,is named after
is popularly known as,is popularly known as
is preferred by,is preferred by
is prescribed in,is prescribed in
is present in,is present in
is produced in,was primarily produced in
was primarily produced in,was primarily produced in
is related to,is related to
is required for,is required for
is the,is the
is the study of,was founded as an academic discipline in
was founded as an academic discipline in,was founded as an academic discipline in
is warmer than,is warmer than
is widely known by the sobriquet,was named
was named,was named
lacked,lacked
lectured in,lectured in
led by,led by
literally means,literally means
lived and worked,lived and worked
made a qualitative suggestion that,made a qualitative suggestion that
made expeditions from,made expeditions from
made observations,made observations
made seven expeditions to,made seven expeditions to
may become certified in,may become certified in
may buck,may buck
may commence,may commence
may use the term,may use the terms
may use the terms,may use the terms
measures,measures
mentions,mentions
must complete,must complete
must conduct,must conduct
must furnish,must furnish
neglected,neglected
never labelled any route a,never labelled any route a
never used,never used
outlined,introduced
points out,points out
postulated,postulated
was expected to be,postulated
were found not to have,postulated
predicts,predicts
proposed,introduced
published,published
was derived from,published
was provided by,published
was published by,published
was published in,published
was written,published
wrote,published
purifies,purifies
reaches levels not seen for,reaches levels not seen for
realized,realized
received honorary doctorate degrees from,received honorary doctorate degrees from
received honorary doctorate degrees in,received honorary doctorate degrees from
recognizes,recognizes
recommended that the us begin,recommended that the us begin
refer them to,refer them to
refined,refined
reflected,reflected
retired from,retired from
returned to,returned to
run out of fuel and explode in,run out of fuel and explode in
