sentence_id,sentence,source,verified_triples,verified_count
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,"[{""triple"": [""Albert Einstein"", ""is a type of"", ""theoretical physicist""], ""label"": ""entailment"", ""confidence"": 0.6636}, {""triple"": [""Albert Einstein"", ""is known for"", ""developing the theory of relativity""], ""label"": ""entailment"", ""confidence"": 0.7236}]",2
2,Einstein also made important contributions to quantum theory.,Albert Einstein,[],0
3,"His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"".",Albert Einstein,"[{""triple"": [""His mass\u2013energy equivalence formula E = mc2"", ""has been called"", ""the world's most famous equation""], ""label"": ""entailment"", ""confidence"": 0.9291}]",1
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,"[{""triple"": [""He"", ""received"", ""the 1921 Nobel Prize in Physics""], ""label"": ""entailment"", ""confidence"": 0.8325}, {""triple"": [""He"", ""was awarded for"", ""his services to theoretical physics""], ""label"": ""entailment"", ""confidence"": 0.7825}, {""triple"": [""He"", ""was awarded for"", ""his discovery of the law of the photoelectric effect""], ""label"": ""entailment"", ""confidence"": 0.7897}]",3
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,[],0
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,"[{""triple"": [""he"", ""enrolled in"", ""the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich""], ""label"": ""entailment"", ""confidence"": 0.6751}, {""triple"": [""he"", ""graduating in"", ""1900""], ""label"": ""entailment"", ""confidence"": 0.6751}, {""triple"": [""he"", ""enrolled in"", ""the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich""], ""label"": ""entailment"", ""confidence"": 0.6751}, {""triple"": [""he"", ""was at the age of"", ""seventeen""], ""label"": ""entailment"", ""confidence"": 0.6751}]",4
7,"He acquired Swiss citizenship a year later, which he kept for the rest of his life, and afterwards secured a permanent position at the Swiss Patent Office in Bern.",Albert Einstein,[],0
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,"[{""triple"": [""he"", ""submitted"", ""a successful PhD dissertation""], ""label"": ""entailment"", ""confidence"": 0.8212}, {""triple"": [""he"", ""submitted"", ""to the University of Zurich""], ""label"": ""entailment"", ""confidence"": 0.8212}]",2
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,[],0
10,"In 1933, while Einstein was visiting the United States, Adolf Hitler came to power in Germany.",Albert Einstein,[],0
11,"Horrified by the Nazi persecution of his fellow Jews, he decided to remain in the US, and was granted American citizenship in 1940.",Albert Einstein,[],0
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,"[{""triple"": [""he"", ""endorsed a letter to"", ""President Franklin D. Roosevelt""], ""label"": ""entailment"", ""confidence"": 0.8046}, {""triple"": [""he"", ""alerting him to"", ""the potential German nuclear weapons program""], ""label"": ""entailment"", ""confidence"": 0.8046}, {""triple"": [""he"", ""recommended that the US begin"", ""similar research""], ""label"": ""entailment"", ""confidence"": 0.7546}, {""triple"": [""similar research"", ""was carried out as"", ""the Manhattan Project""], ""label"": ""entailment"", ""confidence"": 0.8046}]",4
13,"In 1905, sometimes described as his annus mirabilis , he published four groundbreaking papers.",Albert Einstein,[],0
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,"[{""triple"": [""he"", ""outlined"", ""a theory of the photoelectric effect""], ""label"": ""entailment"", ""confidence"": 0.8578}, {""triple"": [""he"", ""explained"", ""Brownian motion""], ""label"": ""entailment"", ""confidence"": 0.8578}, {""triple"": [""he"", ""introduced"", ""his special theory of relativity""], ""label"": ""entailment"", ""confidence"": 0.8578}, {""triple"": [""he"", ""demonstrated"", ""that if the special theory is correct, mass and energy are equivalent to each other""], ""label"": ""entailment"", ""confidence"": 0.8578}]",4
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,"[{""triple"": [""he"", ""proposed"", ""a general theory of relativity""], ""label"": ""entailment"", ""confidence"": 0.7786}, {""triple"": [""he"", ""extended"", ""his system of mechanics""], ""label"": ""entailment"", ""confidence"": 0.7786}, {""triple"": [""he"", ""incorporated"", ""gravitation""], ""label"": ""entailment"", ""confidence"": 0.6786}]",3
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,"[{""triple"": [""paper"", ""was published by"", ""he""], ""label"": ""entailment"", ""confidence"": 0.8522}, {""triple"": [""paper"", ""laid out"", ""implications of general relativity""], ""label"": ""entailment"", ""confidence"": 0.9272}, {""triple"": [""implications of general relativity"", ""are for"", ""modeling of the structure and evolution of the universe as a whole""], ""label"": ""entailment"", ""confidence"": 0.9272}]",3
17,It introduced the cosmological constant and is further regarded as the first step in the field of modern theoretical cosmology.,Albert Einstein,[],0
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,"[{""triple"": [""Einstein"", ""wrote"", ""a paper""], ""label"": ""entailment"", ""confidence"": 0.746}, {""triple"": [""Einstein"", ""introduced"", ""the concepts of spontaneous emission and stimulated emission""], ""label"": ""entailment"", ""confidence"": 0.746}, {""triple"": [""the concepts of spontaneous emission and stimulated emission"", ""is"", ""the core mechanism behind the laser and maser""], ""label"": ""entailment"", ""confidence"": 0.746}, {""triple"": [""the paper"", ""contained"", ""a trove of information that would be beneficial to developments in physics later on""], ""label"": ""entailment"", ""confidence"": 0.746}, {""triple"": [""a trove of information that would be beneficial to developments in physics later on"", ""would be beneficial to"", ""developments in physics later on""], ""label"": ""entailment"", ""confidence"": 0.746}, {""triple"": [""a trove of information that would be beneficial to developments in physics later on"", ""is related to"", ""quantum electrodynamics and quantum optics""], ""label"": ""entailment"", ""confidence"": 0.7187}]",6
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,"[{""triple"": [""Einstein"", ""made contributions to"", ""statistical mechanics""], ""label"": ""entailment"", ""confidence"": 0.7586}, {""triple"": [""Einstein"", ""made contributions to"", ""quantum theory""], ""label"": ""entailment"", ""confidence"": 0.7586}]",2
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,"[{""triple"": [""his work"", ""was notable for"", ""the quantum physics of radiation""], ""label"": ""entailment"", ""confidence"": 0.7873}, {""triple"": [""light"", ""consists of"", ""particles""], ""label"": ""entailment"", ""confidence"": 0.7873}, {""triple"": [""particles"", ""were subsequently called"", ""photons""], ""label"": ""entailment"", ""confidence"": 0.7873}]",3
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,"[{""triple"": [""he"", ""laid the groundwork for"", ""Bose\u2013Einstein statistics""], ""label"": ""entailment"", ""confidence"": 0.8627}, {""triple"": [""he"", ""laid the groundwork for"", ""physicist Satyendra Nath Bose""], ""label"": ""entailment"", ""confidence"": 0.8627}]",2
22,"For much of the last phase of his academic life, Einstein worked on two endeavors that ultimately proved unsuccessful.",Albert Einstein,[],0
23,"First, he advocated against quantum theory's introduction of fundamental randomness into science's picture of the world, objecting that ""God does not play dice"".",Albert Einstein,[],0
24,"Second, he attempted to devise a unified field theory by generalizing his geometric theory of gravitation to include electromagnetism.",Albert Einstein,[],0
25,"As a result, he became increasingly isolated from mainstream modern physics.",Albert Einstein,[],0
26,"Many things are named after him, including the element Einsteinium.",Albert Einstein,"[{""triple"": [""Einsteinium"", ""is named after"", ""him""], ""label"": ""entailment"", ""confidence"": 0.912}]",1
27,"In 1999, he was named Time's Person of the Century.",Albert Einstein,"[{""triple"": [""he"", ""was named"", ""Time's Person of the Century""], ""label"": ""entailment"", ""confidence"": 0.706}]",1
28,"Life and career
Childhood, youth and education
Einstein was born in Ulm as a subject to the Kingdom of Württemberg in the German Empire on 14 March 1879.",Albert Einstein,[],0
