sentence_id,sentence,source,subject,relation,object
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,Albert Einstein,was born in,Germany
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,Albert Einstein,is a type of,theoretical physicist
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,Albert Einstein,is known for,developing the theory of relativity
2,Einstein also made important contributions to quantum theory.,Albert Einstein,,,
3,"His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"".",Albert Einstein,His mass–energy equivalence formula E = mc2,has been called,the world's most famous equation
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,He,received,the 1921 Nobel Prize in Physics
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,He,was awarded for,his services to theoretical physics
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,He,was awarded for,his discovery of the law of the photoelectric effect
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,Einstein,was born as a subject to,the Kingdom of Württemberg
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,Einstein,moved to,Switzerland
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,Einstein,forsaked his citizenship in,1895
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,Einstein,forsaked his citizenship in,the following year
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,enrolled in,the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,graduating in,1900
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,enrolled in,the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,was at the age of,seventeen
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,he,graduated in,1900
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,the Swiss federal polytechnic school in Zurich,is located in,Zurich
7,"He acquired Swiss citizenship a year later, which he kept for the rest of his life, and afterwards secured a permanent position at the Swiss Patent Office in Bern.",Albert Einstein,He,acquired,Swiss citizenship
7,"He acquired Swiss citizenship a year later, which he kept for the rest of his life, and afterwards secured a permanent position at the Swiss Patent Office in Bern.",Albert Einstein,He,kept,Swiss citizenship
7,"He acquired Swiss citizenship a year later, which he kept for the rest of his life, and afterwards secured a permanent position at the Swiss Patent Office in Bern.",Albert Einstein,He,secured,a permanent position at the Swiss Patent Office in Bern
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,he,submitted,a successful PhD dissertation
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,he,submitted,to the University of Zurich
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,he,moved to,Berlin
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,he,joined,Prussian Academy of Sciences
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,he,joined,Humboldt University of Berlin
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,he,became director of,Kaiser Wilhelm Institute for Physics
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,he,became,Prussian citizen
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,he,became,German citizen
10,"In 1933, while Einstein was visiting the United States, Adolf Hitler came to power in Germany.",Albert Einstein,Einstein,was visiting,the United States
10,"In 1933, while Einstein was visiting the United States, Adolf Hitler came to power in Germany.",Albert Einstein,Adolf Hitler,came to power in,Germany
11,"Horrified by the Nazi persecution of his fellow Jews, he decided to remain in the US, and was granted American citizenship in 1940.",Albert Einstein,he,was granted,American citizenship
11,"Horrified by the Nazi persecution of his fellow Jews, he decided to remain in the US, and was granted American citizenship in 1940.",Albert Einstein,he,decided to remain in,the US
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,he,endorsed a letter to,President Franklin D. Roosevelt
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,he,alerting him to,the potential German nuclear weapons program
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,he,recommended that the US begin,similar research
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,similar research,was carried out as,the Manhattan Project
13,"In 1905, sometimes described as his annus mirabilis , he published four groundbreaking papers.",Albert Einstein,,,
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,outlined,a theory of the photoelectric effect
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,explained,Brownian motion
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,introduced,his special theory of relativity
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,he,demonstrated,"that if the special theory is correct, mass and energy are equivalent to each other"
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,he,proposed,a general theory of relativity
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,he,extended,his system of mechanics
