sentence_id,sentence,source,triples,triple_count
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,"[[""Albert Einstein"", ""was born in"", ""Germany""], [""Albert Einstein"", ""is a type of"", ""theoretical physicist""], [""Albert Einstein"", ""is known for"", ""developing the theory of relativity""]]",3
2,Einstein also made important contributions to quantum theory.,Albert Einstein,[],0
3,"His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"".",Albert Einstein,"[[""His mass–energy equivalence formula E = mc2"", ""has been called"", ""the world's most famous equation""]]",1
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,"[[""He"", ""received"", ""the 1921 Nobel Prize in Physics""], [""He"", ""was awarded for"", ""his services to theoretical physics""], [""He"", ""was awarded for"", ""his discovery of the law of the photoelectric effect""]]",3
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,"[[""Einstein"", ""was born as a subject to"", ""the Kingdom of Württemberg""], [""Einstein"", ""moved to"", ""Switzerland""], [""Einstein"", ""forsaked his citizenship in"", ""1895""], [""Einstein"", ""forsaked his citizenship in"", ""the following year""]]",4
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,"[[""he"", ""enrolled in"", ""the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich""], [""he"", ""graduating in"", ""1900""], [""he"", ""enrolled in"", ""the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich""], [""he"", ""was at the age of"", ""seventeen""], [""he"", ""graduated in"", ""1900""], [""the Swiss federal polytechnic school in Zurich"", ""is located in"", ""Zurich""]]",6
7,"He acquired Swiss citizenship a year later, which he kept for the rest of his life, and afterwards secured a permanent position at the Swiss Patent Office in Bern.",Albert Einstein,"[[""He"", ""acquired"", ""Swiss citizenship""], [""He"", ""kept"", ""Swiss citizenship""], [""He"", ""secured"", ""a permanent position at the Swiss Patent Office in Bern""]]",3
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,"[[""he"", ""submitted"", ""a successful PhD dissertation""], [""he"", ""submitted"", ""to the University of Zurich""]]",2
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,"[[""he"", ""moved to"", ""Berlin""], [""he"", ""joined"", ""Prussian Academy of Sciences""], [""he"", ""joined"", ""Humboldt University of Berlin""], [""he"", ""became director of"", ""Kaiser Wilhelm Institute for Physics""], [""he"", ""became"", ""Prussian citizen""], [""he"", ""became"", ""German citizen""]]",6
10,"In 1933, while Einstein was visiting the United States, Adolf Hitler came to power in Germany.",Albert Einstein,"[[""Einstein"", ""was visiting"", ""the United States""], [""Adolf Hitler"", ""came to power in"", ""Germany""]]",2
11,"Horrified by the Nazi persecution of his fellow Jews, he decided to remain in the US, and was granted American citizenship in 1940.",Albert Einstein,"[[""he"", ""was granted"", ""American citizenship""], [""he"", ""decided to remain in"", ""the US""]]",2
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,"[[""he"", ""endorsed a letter to"", ""President Franklin D. Roosevelt""], [""he"", ""alerting him to"", ""the potential German nuclear weapons program""], [""he"", ""recommended that the US begin"", ""similar research""], [""similar research"", ""was carried out as"", ""the Manhattan Project""]]",4
13,"In 1905, sometimes described as his annus mirabilis , he published four groundbreaking papers.",Albert Einstein,[],0
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,"[[""he"", ""outlined"", ""a theory of the photoelectric effect""], [""he"", ""explained"", ""Brownian motion""], [""he"", ""introduced"", ""his special theory of relativity""], [""he"", ""demonstrated"", ""that if the special theory is correct, mass and energy are equivalent to each other""]]",4
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,"[[""he"", ""proposed"", ""a general theory of relativity""], [""he"", ""extended"", ""his system of mechanics""], [""he"", ""incorporated"", ""gravitation""]]",3
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,"[[""paper"", ""was published by"", ""he""], [""paper"", ""laid out"", ""implications of general relativity""], [""implications of general relativity"", ""are for"", ""modeling of the structure and evolution of the universe as a whole""]]",3
17,It introduced the cosmological constant and is further regarded as the first step in the field of modern theoretical cosmology.,Albert Einstein,[],0
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,"[[""Einstein"", ""wrote"", ""a paper""], [""Einstein"", ""introduced"", ""the concepts of spontaneous emission and stimulated emission""], [""the concepts of spontaneous emission and stimulated emission"", ""is"", ""the core mechanism behind the laser and maser""], [""the paper"", ""contained"", ""a trove of information that would be beneficial to developments in physics later on""], [""a trove of information that would be beneficial to developments in physics later on"", ""would be beneficial to"", ""developments in physics later on""], [""a trove of information that would be beneficial to developments in physics later on"", ""is related to"", ""quantum electrodynamics and quantum optics""]]",6
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,"[[""Einstein"", ""made contributions to"", ""statistical mechanics""], [""Einstein"", ""made contributions to"", ""quantum theory""]]",2
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,"[[""his work"", ""was notable for"", ""the quantum physics of radiation""], [""light"", ""consists of"", ""particles""], [""particles"", ""were subsequently called"", ""photons""]]",3
21,"With physicist Satyendra Nath Bose, he laid the groundwork for Bose–Einstein statistics.",Albert Einstein,"[[""he"", ""laid the groundwork for"", ""Bose–Einstein statistics""], [""he"", ""laid the groundwork for"", ""physicist Satyendra Nath Bose""]]",2
22,"For much of the last phase of his academic life, Einstein worked on two endeavors that ultimately proved unsuccessful.",Albert Einstein,[],0
23,"First, he advocated against quantum theory's introduction of fundamental randomness into science's picture of the world, objecting that ""God does not play dice"".",Albert Einstein,"[[""he"", ""advocated against"", ""quantum theory's introduction of fundamental randomness into science's picture of the world""], [""he"", ""objected that"", ""God does not play dice""]]",2
24,"Second, he attempted to devise a unified field theory by generalizing his geometric theory of gravitation to include electromagnetism.",Albert Einstein,[],0
25,"As a result, he became increasingly isolated from mainstream modern physics.",Albert Einstein,[],0
26,"Many things are named after him, including the element Einsteinium.",Albert Einstein,"[[""Einsteinium"", ""is named after"", ""him""]]",1
27,"In 1999, he was named Time's Person of the Century.",Albert Einstein,"[[""he"", ""was named"", ""Time's Person of the Century""]]",1
