id,sentence,source,source_type,category
1,Albert Einstein was a German-born theoretical physicist best known for developing the theory of relativity.,Albert Einstein,wikipedia,science
2,Einstein also made important contributions to quantum theory.,Albert Einstein,wikipedia,science
3,"His mass–energy equivalence formula E = mc2, which arises from special relativity, has been called ""the world's most famous equation"".",Albert Einstein,wikipedia,science
4,"He received the 1921 Nobel Prize in Physics for ""his services to theoretical physics, and especially for his discovery of the law of the photoelectric effect"".",Albert Einstein,wikipedia,science
5,"Born as a subject to the Kingdom of Württemberg, part of the German Empire, Einstein moved to Switzerland in 1895, forsaking his citizenship the following year.",Albert Einstein,wikipedia,science
6,"In 1897, at the age of seventeen, he enrolled in the mathematics and physics teaching diploma program at the Swiss federal polytechnic school in Zurich, graduating in 1900.",Albert Einstein,wikipedia,science
7,"He acquired Swiss citizenship a year later, which he kept for the rest of his life, and afterwards secured a permanent position at the Swiss Patent Office in Bern.",Albert Einstein,wikipedia,science
8,"In 1905, he submitted a successful PhD dissertation to the University of Zurich.",Albert Einstein,wikipedia,science
9,"In 1914, he moved to Berlin to join the Prussian Academy of Sciences and the Humboldt University of Berlin, becoming director of the Kaiser Wilhelm Institute for Physics in 1917; he also became a Prussian and consequently also German citizen again.",Albert Einstein,wikipedia,science
10,"In 1933, while Einstein was visiting the United States, Adolf Hitler came to power in Germany.",Albert Einstein,wikipedia,science
11,"Horrified by the Nazi persecution of his fellow Jews, he decided to remain in the US, and was granted American citizenship in 1940.",Albert Einstein,wikipedia,science
12,"On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential German nuclear weapons program and recommending that the US begin similar research, later carried out as the Manhattan Project.",Albert Einstein,wikipedia,science
13,"In 1905, sometimes described as his annus mirabilis , he published four groundbreaking papers.",Albert Einstein,wikipedia,science
14,"In them, he outlined a theory of the photoelectric effect, explained Brownian motion, introduced his special theory of relativity, and demonstrated that if the special theory is correct, mass and energy are equivalent to each other.",Albert Einstein,wikipedia,science
15,"In 1915, he proposed a general theory of relativity that extended his system of mechanics to incorporate gravitation.",Albert Einstein,wikipedia,science
16,A paper that he published the following year laid out the implications of general relativity for the modeling of the structure and evolution of the universe as a whole.,Albert Einstein,wikipedia,science
17,It introduced the cosmological constant and is further regarded as the first step in the field of modern theoretical cosmology.,Albert Einstein,wikipedia,science
18,"In 1917, Einstein wrote a paper which introduced the concepts of spontaneous emission and stimulated emission, the latter of which is the core mechanism behind the laser and maser, and which contained a trove of information that would be beneficial to developments in physics later on, such as quantum electrodynamics and quantum optics.",Albert Einstein,wikipedia,science
19,"In the middle part of his career, Einstein made important contributions to statistical mechanics and quantum theory.",Albert Einstein,wikipedia,science
20,"Especially notable was his work on the quantum physics of radiation, in which light consists of particles, subsequently called photons.",Albert Einstein,wikipedia,science
